brand,perfume,type,category,target_audience,longevity
dumont,nitro red,edp,Fresh Scent,Male,Strong
dumont,nitro pour homme,edp,Fresh Scent,Male,Strong
dumont,nitro white,edp,Fresh Scent,Unisex,Strong
dumont,nitro blue,edp,Fresh Scent,Unisex,Strong
dumont,nitro green,edp,Fresh Scent,Unisex,Strong
dumont,nitro platinum,edp,Mass Pleaser,Male,Strong
dumont,nitro intense,edp,Woody Spicy,Male,Strong
dumont,nitro black,edp,Woody Spicy,Male,Strong
dumont,celerio oros,edp,Oriental Vanilla,Unisex,Medium
dumont,celerio epic,edp,Woody Aromatic,Male,Medium
armaf,club de nuit intense man,edt,Woody Spicy,Male,Strong
armaf,cdnim pure parfum,parfum,Woody Spicy,Male,Strong
armaf,cdnim edp,edp,Woody Spicy,Male,Strong
armaf,cdnim limited edition,edp,Woody Spicy,Male,Strong
armaf,cdn women,edp,Floral Fruity,Female,Medium
armaf,lionheart man,edt,Woody Aromatic,Male,Medium
armaf,yum yum,edp,Fruity Floral,Female,Medium
armaf,sillage,edp,Woody Spicy,Male,Medium
armaf,imperial,edp,Woody Spicy,Male,Medium
armaf,untold,edp,Woody Aromatic,Male,Medium
armaf,hunter,edt,Woody Spicy,Male,Medium
armaf,hunter intense,edp,Woody Spicy,Male,Strong
armaf,ventana marine,edp,Fresh Scent,Male,Medium
armaf,ventana,edt,Fresh Scent,Male,Medium
armaf,urban man elixr,edp,Woody Spicy,Male,Medium
armaf,milestone,edp,Woody Spicy,Male,Medium
armaf,aura fresh,edp,Fresh Scent,Male,Medium
armaf,precioux 1,edp,Woody Spicy,Male,Medium
armaf,legesi,edp,Woody Aromatic,Male,Medium
armaf,blue homme,edt,Fresh Scent,Male,Medium
armaf,odyssey homme,edp,Woody Spicy,Male,Medium
armaf,odyssey homme white edition,edp,Woody Spicy,Male,Medium
armaf,odyssey homme gold edition,edp,Woody Spicy,Male,Medium
armaf,odyssey homme red,edp,Woody Spicy,Male,Medium
armaf,odyssey homme blue,edp,Woody Spicy,Male,Medium
armaf,odyssey homme black,edp,Woody Spicy,Male,Medium
armaf,odyssey femme,edp,Floral Fruity,Female,Medium
armaf,tag him,edt,Woody Spicy,Male,Medium
armaf,tag him prestige edition,edt,Woody Spicy,Male,Medium
armaf,tag him pour homme,edt,Woody Spicy,Male,Medium
armaf,tag her,edp,Floral Fruity,Female,Medium
armaf,derby club house blanche,edt,Fresh Scent,Unisex,Medium
armaf,derby club house gold,edt,Woody Spicy,Male,Medium
armaf,derby club house ascot,edt,Woody Spicy,Male,Medium
armaf,derby club house adventure,edt,Woody Aromatic,Male,Medium
armaf,derby club house victory,edt,Woody Aromatic,Male,Medium
armaf,derby club house blue,edt,Fresh Scent,Unisex,Medium
armaf,all you need is passion,edp,Woody Spicy,Male,Medium
armaf,the pride of armaf for men,edp,Woody Spicy,Male,Medium
armaf,the pride of armaf for women,edp,Floral Fruity,Female,Medium
armaf,the warrior,edt,Woody Spicy,Male,Medium
armaf,the hunter,edt,Woody Spicy,Male,Medium
armaf,the hunter intense,edp,Woody Spicy,Male,Strong
armaf,the hunter black,edp,Woody Spicy,Male,Strong
armaf,the hunter jungle,edp,Woody Spicy,Male,Medium
armaf,the legacy,edp,Woody Aromatic,Male,Medium
armaf,the signature for women,edp,Floral Fruity,Female,Medium
armaf,the signature for men,edp,Woody Spicy,Male,Medium
armaf,club de nuit intense man limited edition parfum,parfum,Woody Spicy,Male,Strong
armaf,club de nuit intense women limited edition,parfum,Floral Fruity,Female,Strong
armaf,club de nuit milestones,edp,Woody Spicy,Male,Medium
armaf,club de nuit sillage,edp,Woody Spicy,Male,Medium
armaf,club de nuit imperiale,edp,Woody Spicy,Male,Medium
armaf,club de nuit urban man,edp,Woody Spicy,Male,Medium
armaf,club de nuit urban woman,edp,Floral Fruity,Female,Medium
armaf,club de nuit untold,parfum,Woody Spicy,Male,Strong
armaf,club de nuit timeless,parfum,Woody Spicy,Male,Strong
armaf,club de nuit iconic,edp,Woody Spicy,Male,Medium
armaf,ventana pour homme,edp,Fresh Scent,Male,Medium
armaf,ventana pour femme,edp,Floral Fruity,Female,Medium
armaf,ventana noir,edp,Woody Spicy,Male,Medium
armaf,ventana azure,edp,Fresh Scent,Male,Medium
armaf,opus homme,edp,Woody Spicy,Male,Medium
armaf,opus femme,edp,Floral Fruity,Female,Medium
armaf,opus noir,edp,Woody Spicy,Male,Medium
armaf,opus blue,edp,Fresh Scent,Male,Medium
armaf,opus rouge,edp,Woody Spicy,Male,Medium
armaf,opus gold,edp,Woody Spicy,Male,Medium
armaf,magnificent pour homme,edp,Woody Spicy,Male,Medium
armaf,magnificent pour femme,edp,Floral Fruity,Female,Medium
fragrance world,spectre ghost,edp,Woody Aromatic,Male,Medium
fragrance world,spectre wraith,edp,Woody Spicy,Male,Strong
fragrance world,pinnace white,edp,Fresh Scent,Unisex,Medium
fragrance world,essence de blanc,edp,Floral Fruity,Female,Medium
fragrance world,vulcan feu french avenue,edp,Woody Spicy,Male,Strong
fragrance world,urban man elixir,edp,Woody Spicy,Male,Medium
fragrance world,nuke 2.0,edp,Woody Aromatic,Male,Medium
fragrance world,suits,edp,Woody Aromatic,Male,Medium
fragrance world,sultry woods,edp,Woody Spicy,Male,Strong
fragrance world,fierte,edp,Woody Aromatic,Male,Medium
fragrance world,green saphire,edp,Fresh Scent,Unisex,Medium
fragrance world,eau de spice,edp,Spicy Aromatic,Male,Medium
fragrance world,imperial fragrance world,edp,Woody Spicy,Male,Strong
fragrance world,divin asylum,edp,Woody Aromatic,Male,Medium
fragrance world,divin oud,edp,Oud,Unisex,Strong
fragrance world,francique 63.55,edp,Woody Aromatic,Male,Medium
fragrance world,my soulmate body,edp,Floral Fruity,Female,Medium
fragrance world,mirag absolu,edp,Woody Spicy,Male,Strong
fragrance world,tropical kiss,edp,Fruity Floral,Female,Medium
fragrance world,aqua pura,edp,Fresh Scent,Unisex,Medium
fragrance world,arabian incense,edp,Oriental Woody,Unisex,Strong
fragrance world,hibiscus magic,edp,Floral Fruity,Female,Medium
fragrance world,brown sugar,edp,Gourmand,Unisex,Medium
fragrance world,aqua royale blue,edp,Fresh Scent,Male,Medium
fragrance world,enigma une,edp,Woody Aromatic,Male,Medium
fragrance world,enigma trois,edp,Woody Aromatic,Male,Medium
fragrance world,imperium edp,edp,Woody Spicy,Male,Strong
fragrance world,bavaria pour homme,edp,Woody Aromatic,Male,Medium
fragrance world,aventos green,edp,Fresh Scent,Male,Medium
fragrance world,absolute oud magnificent 7,edp,Oud,Unisex,Strong
fragrance world,f le parfum,parfum,Floral Fruity,Female,Strong
fragrance world,giorgio black special edition,edp,Woody Spicy,Male,Medium
fragrance world,harmony code absolute,edp,Woody Aromatic,Male,Medium
fragrance world,barakkat rouge 540,edp,Oud,Unisex,Strong
fragrance world,barakkat aqua stellar,edp,Fresh Scent,Unisex,Medium
fragrance world,mocha wood,edp,Gourmand,Unisex,Medium
fragrance world,star men nebula,edp,Woody Aromatic,Male,Medium
fragrance world,la uno forever,edp,Floral Fruity,Female,Medium
fragrance world,royal blend nero,edp,Woody Spicy,Male,Medium
fragrance world,royal blend,edp,Woody Spicy,Male,Medium
fragrance world,sweet paradise,edp,Fruity Floral,Female,Medium
fragrance world,cocktail intense,edp,Woody Spicy,Male,Medium
rasasi,shaghaf (nafaies al shaghaf),edp,Sweet Spicy Oriental,Unisex,Strong
rasasi,shuhrah,edp,Woody Spicy,Unisex,Strong
rasasi,sotoor seen,edp,Fresh Spicy,Unisex,Medium
rasasi,sotoor taa,edp,Fresh Aromatic,Unisex,Medium
rasasi,sotoor waaw,edp,Fresh Woody,Unisex,Medium
rasasi,hawas tropical,edp,Fruity Fresh,Male,Medium
riffs,deoro patchouli,edp,Earthy Woody,Unisex,Medium–Strong :contentReference[oaicite:0]{index=0}
riffs,elegant homme,edp,Fresh Woody,Male,Medium :contentReference[oaicite:1]{index=1}
riffs,goodness oud,edp,Rich Oud,Unisex,Strong :contentReference[oaicite:2]{index=2}
riffs,imperial blue,edp,Fresh Aromatic,Male,Light–Medium :contentReference[oaicite:3]{index=3}
riffs,majestic rose,edp,Floral Rose,Female,Strong :contentReference[oaicite:4]{index=4}
riffs,wonder of you,edp,Sweet Floral,Unisex,Medium :contentReference[oaicite:5]{index=5}
ibraheem al qurashi,blue oud,edp,Oud Floral,Unisex,Strong
ibraheem al qurashi,golden amber,edp,Amber Oriental,Unisex,Strong
nusuk,al mukhtalif signature,edp,Oriental Woody,Unisex,Medium
nusuk,ana al awwal,edp,Fresh Spicy,Unisex,Medium
my perfumes,oud al layl,edp,Oud Deep,Unisex,Strong
nusuk,naseem aqua,edp,Fresh Aquatic,Unisex,Medium
zimaya,sharaf blend,edp,Woody Floral,Unisex,Medium
zimaya,sharaf club black,edp,Oud Oriental,Unisex,Strong
ard al zaafaran,al dirgham gold limited edition,edp,Amber Spicy,Unisex,Strong
ard al zaafaran,al dirgham silver special edition,edp,Fresh Spicy,Unisex,Medium
al haramain,amber oud aqua dubai,edp,Fresh Amber,Male,Medium
al haramain,detour noir,edp,Woody Spicy,Male,Strong
al haramain,detour noir intense,edp,Woody Spicy,Male,Strong
al haramain,detour eco,edp,Fresh Fougere,Male,Medium
al haramain,detour rouge,edp,Woody Spicy,Male,Strong
dirham,dirham oud,edp,Oud Woody,Unisex,Strong
dirham,dirham wardi,edp,Rose Oud,Unisex,Strong
dirham,dirham silver,edp,Fresh Aromatic,Male,Medium
dirham,dirham gold,edp,Woody Spicy,Male,Strong
sheikh zayed,sheikh zayed blue,edp,Fresh Aquatic,Male,Medium
al wataniah,kayaan classic,edp,Woody Spicy,Male,Medium
insurrection,insurrection wild ii,edp,Woody Spicy,Male,Strong
rue broca,theoreme martix,edp,Oriental Spicy,Unisex,Strong
rue broca,theoreme,edp,Oriental Spicy,Unisex,Medium
khadlj,island,edp,Fresh Green,Unisex,Light–Medium
khadlj,island vanilla dunes,edp,Fruity Vanilla,Unisex,Medium
khadlj,karus blue spice,edp,Fresh Spicy,Unisex,Medium
khadlj,cloud candy,edp,Sweet Gourmand,Unisex,Medium
khadlj,shiyaaka gold,edp,Woody Spicy,Male,Strong
khadlj,shiyaaka silver,edp,Woody Aromatic,Male,Medium
khadlj,shiyaaka blue,edp,Fresh Woody,Male,Medium
hamidi,addicted imperial,edp,Woody Spicy,Male,Strong
hamidi,addicted silver,edp,Woody Aromatic,Male,Medium
hamidi,addicted intense,edp,Woody Spicy,Male,Strong
ajmal,kuro,edp,Fresh Aquatic,Male,Medium
ajmal,blue,edp,Fresh Aromatic,Male,Medium
ajmal,shiro,edp,Oriental Spicy,Unisex,Medium
ajmal,rain drops,edp,Fresh Aquatic,Unisex,Light–Medium
ajmal,wisal dahab,edp,Floral Oriental,Female,Medium
rayhaan,elixr,edp,Woody Spicy,Unisex,Strong
rayhaan,crimson,edp,Spicy Floral,Female,Medium
rayhaan,pacific,edp,Fresh Aquatic,Unisex,Medium
rayhaan,lion,edp,Woody Spicy,Unisex,Medium
rayhaan,imperia intense,edp,Woody Spicy,Unisex,Strong
rayhaan,royal wood,edp,Woody,Unisex,Medium
rayhaan,fresh wave,edp,Fresh Aquatic,Unisex,Medium
rayhaan,ocean rush,edp,Fresh Aquatic,Unisex,Medium
swiss arabian,shagaf vanilla toffee,edp,Gourmand Sweet,Unisex,Strong
swiss arabian,shagaf oud,edp,Oud Spicy,Unisex,Strong
ard al zaafaran,bint hooran,edp,Floral Oriental,Female,Medium
zimaya,stallion,edp,Woody Spicy,Male,Medium
al rehab,choco musk,edp,Gourmand Sweet,Unisex,Medium
zimaya,itqan noir,edp,Woody Aromatic,Male,Strong
